,SPY US Equity,IWM US Equity,QQQ US Equity,VGK US Equity,EWJ US Equity,EEM US Equity,EFA US Equity,ACWX US Equity,IYR US Equity,GSG US Equity,GLD US Equity,SHY US Equity,IEF US Equity,TLT US Equity,LQD US Equity,HYG US Equity,AGG US Equity
2009-10-30,103.56,56.33,40.96,48.31,38.2,37.57,53.3,38.71,40.55,31.11,102.53,84.02,91.99,95.78,105.68,85.18,104.81
2009-11-30,109.94,58.09,43.56,50.5,38.24,40.52,55.39,40.59,43.42,31.51,115.64,84.33,93.06,96.63,107.25,85.9,105.83
2009-12-31,111.44,62.44,45.75,48.48,38.96,41.5,55.28,40.91,45.92,31.82,107.31,82.96,88.6,89.89,104.15,87.84,103.19
2010-01-29,107.39,60.11,42.79,45.44,39.36,38.28,52.48,38.52,43.43,29.24,105.96,83.62,90.7,92.31,105.45,86.23,104.65
2010-02-26,110.74,62.8,44.76,45.19,39.76,38.96,52.62,39.02,45.8,30.97,109.43,83.67,90.695,91.67,105.53,87.17,104.53
2010-03-31,117.0,67.8025,48.16,48.13,41.76,42.1225,55.98,41.69,49.78,31.16,108.95,83.37,89.5,89.5,105.77,88.37,104.2
2010-04-30,118.8125,71.65,49.2375,46.3,41.56,42.05,54.41,40.74,52.96,32.14,115.36,83.54,90.72,92.13,107.31,89.4,104.89
2010-05-31,109.369,66.25,45.6,40.86,38.04,38.1,48.32,36.54,49.95,27.77,118.881,83.84,93.1,96.5,105.46,84.61,105.71
2010-06-30,103.22,61.115,42.71,40.19,36.8,37.32,46.51,35.15,47.21,27.79,121.68,84.12,95.67,101.75,108.46,84.9,107.25
2010-07-30,110.27,65.02,45.81,45.89,38.52,41.4,51.91,39.057,51.65,29.39,115.49,84.21,96.29,100.48,110.3,88.62,107.85
2010-08-31,105.31,60.18,43.46,43.79,37.52,40.06,49.94,37.54,50.98,27.78,122.08,84.34,99.26,108.56,113.0,87.15,108.94
2010-09-30,114.13,67.5,49.07,48.72,39.54,44.77,54.92,41.37,52.88,30.01,127.91,84.37,99.01,105.51,113.09,89.69,108.65
2010-10-29,118.49,70.3,52.18,51.1,40.08,46.12,57.01,42.81,54.96,30.88,132.62,84.49,98.77,100.42,112.36,90.74,108.55
2010-11-30,118.4925,72.75,52.085,47.11,41.08,44.78,54.26,41.28,54.0875,31.26,135.42,84.25,97.65,98.41,110.12,88.99,107.37
2010-12-31,125.75,78.24,54.46,49.09,43.64,47.642,58.22,44.04,55.96,34.1,138.72,83.98,93.82,94.12,108.44,90.29,105.75
2011-01-31,128.68,77.95,56.0,50.9,43.72,45.81,59.44,44.28,57.96,35.16,129.87,84.09,93.8,91.22,108.48,91.78,105.66
2011-02-28,133.15,82.268,57.7689,52.49,46.12,45.79,61.55,45.72,60.58,36.09,137.661,83.92,93.37,92.4,109.22,92.5,105.65
2011-03-31,132.59,84.17,57.43,51.95,41.26,48.67,60.08,45.45,59.4,37.35,139.86,83.75,93.01,92.13,108.2,91.96,105.13
2011-04-29,136.43,86.39,59.08,56.27,42.12,50.0,63.46,47.72,62.17,38.94,152.37,84.13,94.47,93.89,110.47,92.85,106.46
2011-05-31,134.9,84.84,58.36,54.67,41.08,48.53,62.06,46.27,62.8,36.27,149.64,84.37,96.59,96.69,111.44,92.4,107.46
2011-06-30,131.97,82.8,57.05,53.53,41.72,47.6,60.14,45.04,60.3,34.11,146.001,84.3,95.86,94.1,110.13,91.31,106.67
2011-07-29,129.33,79.74,58.0,51.07,42.84,47.11,58.71,43.83,60.43,35.19,158.29,84.48,98.66,97.92,112.37,91.05,108.16
2011-08-31,122.22,72.65,55.06,46.33,39.4,42.75,53.57,39.97,57.22,34.59,177.72,84.71,103.0,107.03,112.33,88.03,109.5
2011-09-30,113.15,64.3,52.49,40.66,37.84,35.095,47.78,35.05,50.57,30.19,158.06,84.57,105.07,120.8,112.31,82.83,110.11
2011-10-31,125.5,74.01,57.95,45.71,37.6,40.815,52.38,38.98,57.24,33.29,167.34,84.55,103.51,115.88,114.7,89.28,110.03
2011-11-30,124.99,73.73,56.39,44.4,37.72,40.01,51.24,38.14,55.14,33.79,170.13,84.54,103.9,117.88,110.69,86.6,109.38
2011-12-30,125.5,73.75,55.83,41.43,36.44,37.94,49.53,36.81,56.81,32.98,151.99,84.5,105.57,121.25,113.76,89.43,110.25
2012-01-31,131.32,79.02,60.53,43.69,38.18,42.11,52.14,39.11,60.56,33.77,169.31,84.57,106.48,120.85,116.2,90.74,111.05
2012-02-29,137.02,81.05,64.41,46.06,39.96,44.33,54.66,41.03,60.14,35.87,164.286,84.42,105.12,117.43,117.7,92.126,110.76
2012-03-30,140.81,82.81,67.55,46.09,40.7,42.945,54.89,40.83,62.3,34.78,162.12,84.32,103.28,112.2,115.63,90.7185,109.85
2012-04-30,139.87,81.47,66.76,44.94,38.96,42.215,53.75,40.15,63.91,34.66,161.88,84.46,105.69,117.32,116.48,91.2,110.6
2012-05-31,131.47,76.11,62.06,39.56,35.56,37.7,47.76,35.69,61.22,30.23,151.62,84.48,108.55,127.6,116.97,87.77,111.56
2012-06-29,136.105,79.56,64.16,42.83,37.64,39.135,49.96,37.19,63.935,30.44,155.19,84.37,107.93,125.2,117.59,91.29,111.3
2012-07-31,137.71,78.35,64.8,42.97,35.96,39.12,50.0,37.29,65.43,32.23,156.49,84.53,109.28,129.7,121.28,91.7,112.59
2012-08-31,141.16,81.12,68.16,44.98,36.24,39.28,51.6,38.06,65.63,34.54,164.22,84.51,108.99,127.72,120.83,92.33,112.37
2012-09-28,143.97,83.44,68.57,45.26,36.68,41.325,53.0,39.39,64.38,33.8,171.89,84.5,108.46,124.22,121.77,92.3,112.448
2012-10-31,141.35,81.63,64.95,46.06,36.22,41.15,53.575,39.64,64.0,32.44,166.83,84.42,107.89,123.36,123.02,92.5923,112.19
2012-11-30,142.155,82.08,65.8,47.2,37.3,41.785,55.07,40.59,63.63,32.96,166.05,84.44,108.8,124.79,122.13,93.05,112.25
2012-12-31,142.41,84.3178,65.1301,48.84,39.0,44.35,56.86,41.88,64.67,32.79,162.0204,84.42,107.49,121.18,120.99,93.35,111.08
2013-01-31,149.7,89.58,66.87,50.93,39.88,44.215,58.98,43.06,67.27,34.29,161.2,84.43,106.1,117.32,119.42,93.67,110.39
2013-02-28,151.61,90.48,67.1,49.2,40.84,43.205,58.215,42.55,68.12,32.54,153.0,84.46,107.16,118.51,120.33,94.04,110.83
2013-03-29,156.67,94.43,68.97,49.13,43.2,42.77,58.98,42.86,69.48,32.9,154.47,84.47,107.34,117.76,119.9,94.35,110.73
2013-04-30,159.68,94.1,70.72,51.36,46.8,43.29,61.94,44.36,73.46,31.29,142.77,84.51,108.83,123.01,122.13,95.85,111.54
2013-05-31,163.445,97.8,73.25,51.365,43.36,41.195,60.07,43.0,68.69,30.809,133.92,84.38,105.32,114.45,117.85,92.92,109.11
2013-06-28,160.42,97.0,71.27,48.13,44.88,38.5,57.3,40.71,66.43,30.8,119.11,84.28,102.5,110.44,113.65,90.88,107.21
2013-07-31,168.71,103.655,75.77,51.8,44.9,39.01,60.35,42.56,66.59,32.54,127.96,84.4,102.0,107.7,114.54,92.98,107.3
2013-08-30,163.65,100.38,75.47,51.04,43.48,38.02,59.17,41.88,62.24,33.55,134.62,84.3,100.41,105.99,113.05,91.35,106.21
2013-09-30,168.01,106.61,78.88,54.5,47.68,40.755,63.801,44.82,63.79,32.38,128.18,84.47,102.11,106.4,113.52,91.58,107.2
2013-10-31,175.79,109.19,82.79,56.78,47.62,42.455,65.88,46.395,66.17,31.91,127.74,84.51,102.75,107.64,115.2,93.43,107.899
2013-11-29,181.0,113.51,85.73,57.36,48.24,42.35,66.24,46.49,63.1,31.76,120.7,84.57,101.69,104.45,114.66,93.42,107.44
2013-12-31,184.69,115.36,87.96,58.8,48.556,41.795,67.095,46.67,63.08,32.19,116.12,84.38,99.24,101.86,114.188,92.88,106.43
2014-01-31,178.18,112.16,86.27,56.11,45.32,38.19,63.61,43.84,65.25,31.48,120.09,84.55,102.28,108.28,116.34,93.25,108.07
2014-02-28,186.29,117.52,90.34,60.23,46.44,39.48,67.51,46.33,68.35,32.99,127.62,84.56,102.47,108.57,117.32,94.93,108.27
